Historical Gross Domestic Product Per Capita for Baseline Countries/Regions (in 2010 dollars) 1980-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Updated: 12/13/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note: Information important for using this table: Because of the use of fixed exchange rates, the base year can make a significant difference in the relative ranking of countries.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Calculated from real GDP and population in the ERS International Macroeconomic Data Sets.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Contact: Lorraine Mitchell (202-694-5234, lmitchel@ers.usda.gov).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Real Per Capita GDP in 2010 U.S. dollars and Annual Growth Rates (right side of table),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Growth Rates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SouthAmerica,7091.58,6749.36,6531.31,6224.05,6338.97,6472.07,6815.61,6941.34,6836.33,6745.87,6543.83,6676.14,6732.22,6897.03,7112.88,7260.40,7336.83,7558.74,7527.87,7340.51,7482.29,7452.27,7383.09,7414.02,7832.56,8106.66,8441.88,8898.50,9236.74,9053.38,9553.00,9903.30,10049.51,10276.61,10223.58,9964.19,9572.89,9568.01,,-4.83,-3.23,-4.70,1.85,2.10,5.31,1.84,-1.51,-1.32,-3.00,2.02,0.84,2.45,3.13,2.07,1.05,3.02,-0.41,-2.49,1.93,-0.40,-0.93,0.42,5.65,3.50,4.14,5.41,3.80,-1.99,5.52,3.67,1.48,2.26,-0.52,-2.54,-3.93,-0.05,0.10,,,,,,,,,,,,,,,,,,
Argentina,8031.64,7449.10,6963.53,7120.81,7173.07,6533.54,6941.01,7034.66,6753.42,6156.58,5924.50,6581.71,7267.31,7598.09,7940.05,7620.77,7949.74,8494.75,8721.38,8333.58,8176.54,7732.48,6819.10,7345.15,7922.85,8531.72,9126.82,9856.66,10156.01,9458.65,10312.07,10817.78,10599.10,10747.30,10374.58,10555.63,10265.95,10463.04,,-7.25,-6.52,2.26,0.73,-8.92,6.24,1.35,-4.00,-8.84,-3.77,11.09,10.42,4.55,4.50,-4.02,4.32,6.86,2.67,-4.45,-1.88,-5.43,-11.81,7.71,7.87,7.69,6.98,8.00,3.04,-6.87,9.02,4.90,-2.02,1.40,-3.47,1.75,-2.74,1.92,0.41,,,,,,,,,,,,,,,,,,
Brazil,8346.78,7793.53,7657.83,7229.71,7440.34,7857.56,8311.71,8441.22,8271.99,8386.04,7983.84,7969.35,7802.90,8036.69,8333.50,8569.20,8627.39,8788.19,8688.67,8602.79,8828.09,8824.89,8971.85,8956.75,9355.85,9541.11,9807.38,10290.36,10703.75,10586.21,11279.08,11624.04,11746.15,11998.12,11961.08,11445.95,10965.04,10990.38,,-6.63,-1.74,-5.59,2.91,5.61,5.78,1.56,-2.00,1.38,-4.80,-0.18,-2.09,3.00,3.69,2.83,0.68,1.86,-1.13,-0.99,2.62,-0.04,1.67,-0.17,4.46,1.98,2.79,4.92,4.02,-1.10,6.55,3.06,1.05,2.15,-0.31,-4.31,-4.20,0.23,0.91,,,,,,,,,,,,,,,,,,
OtherSouthAmerica,5112.76,5128.67,4884.00,4596.97,4604.61,4592.96,4771.69,4906.64,4945.84,4739.67,4819.76,4997.47,5169.19,5202.08,5283.61,5455.64,5489.50,5704.06,5693.67,5432.28,5547.66,5596.83,5481.30,5438.09,5842.32,6144.20,6502.08,6855.72,7113.70,6990.56,7155.73,7478.27,7759.78,7983.73,8003.05,7953.49,7653.25,7563.23,,0.31,-4.77,-5.88,0.17,-0.25,3.89,2.83,0.80,-4.17,1.69,3.69,3.44,0.64,1.57,3.26,0.62,3.91,-0.18,-4.59,2.12,0.89,-2.06,-0.79,7.43,5.17,5.82,5.44,3.76,-1.73,2.36,4.51,3.76,2.89,0.24,-0.62,-3.77,-1.18,-1.40,,,,,,,,,,,,,,,,,,
Bolivia,1691.28,1664.15,1571.12,1482.60,1455.06,1406.41,1346.07,1353.46,1364.74,1385.59,1416.58,1456.27,1445.47,1472.81,1507.26,1543.53,1576.74,1620.29,1666.32,1638.68,1645.03,1638.27,1644.59,1654.97,1689.75,1730.05,1778.39,1824.79,1901.62,1930.48,1975.35,2042.97,2111.87,2218.51,2302.15,2376.11,2439.31,2503.17,,-1.60,-5.59,-5.63,-1.86,-3.34,-4.29,0.55,0.83,1.53,2.24,2.80,-0.74,1.89,2.34,2.41,2.15,2.76,2.84,-1.66,0.39,-0.41,0.39,0.63,2.10,2.38,2.79,2.61,4.21,1.52,2.32,3.42,3.37,5.05,3.77,3.21,2.66,2.62,2.29,,,,,,,,,,,,,,,,,,
Chile,5369.93,5629.57,4924.44,4597.01,4706.71,4817.42,4995.91,5232.71,5523.02,5966.71,6054.89,6407.86,6997.46,7331.72,7573.69,8121.98,8547.38,9051.57,9313.40,9153.51,9524.14,9727.72,9921.95,10222.21,10852.89,11368.09,11972.91,12442.46,12757.84,12436.55,13039.31,13709.25,14309.51,14758.99,14892.63,15110.31,15178.61,15284.26,,4.84,-12.53,-6.65,2.39,2.35,3.70,4.74,5.55,8.03,1.48,5.83,9.20,4.78,3.30,7.24,5.24,5.90,2.89,-1.72,4.05,2.14,2.00,3.03,6.17,4.75,5.32,3.92,2.53,-2.52,4.85,5.14,4.38,3.14,0.91,1.46,0.45,0.70,3.34,,,,,,,,,,,,,,,,,,
Colombia,3909.40,3912.15,3862.52,3836.99,3878.42,3910.55,4048.65,4173.50,4249.23,4301.03,4466.46,4475.68,4607.22,4624.41,4801.27,4961.98,4986.72,5086.21,5046.42,4780.21,4947.04,4978.60,5040.12,5166.73,5366.31,5542.28,5834.93,6156.88,6294.89,6320.29,6492.85,6840.19,7036.02,7297.22,7535.55,7683.88,7760.48,7818.60,,0.07,-1.27,-0.66,1.08,0.83,3.53,3.08,1.81,1.22,3.85,0.21,2.94,0.37,3.82,3.35,0.50,2.00,-0.78,-5.28,3.49,0.64,1.24,2.51,3.86,3.28,5.28,5.52,2.24,0.40,2.73,5.35,2.86,3.71,3.27,1.97,1.00,0.75,1.35,,,,,,,,,,,,,,,,,,
Ecuador,3713.44,3815.61,3735.92,3624.70,3621.94,3666.49,3695.88,3592.04,3706.94,3649.54,3684.89,3801.80,3836.61,3839.60,3909.00,3907.26,3884.97,3961.68,4003.45,3746.04,3732.92,3826.48,3921.70,3952.41,4182.81,4309.39,4416.80,4443.96,4654.19,4610.33,4702.67,4999.42,5206.44,5387.62,5514.96,5445.97,5289.33,5377.64,,2.75,-2.09,-2.98,-0.08,1.23,0.80,-2.81,3.20,-1.55,0.97,3.17,0.92,0.08,1.81,-0.04,-0.57,1.97,1.05,-6.43,-0.35,2.51,2.49,0.78,5.83,3.03,2.49,0.61,4.73,-0.94,2.00,6.31,4.14,3.48,2.36,-1.25,-2.88,1.67,0.84,,,,,,,,,,,,,,,,,,
Guyana,2044.34,2067.90,1792.96,1672.71,1588.78,1626.54,1609.50,1620.61,1557.51,1476.58,1426.30,1513.64,1639.12,1774.76,1924.27,2016.38,2176.34,2313.51,2261.91,2307.16,2259.82,2309.05,2344.44,2330.16,2408.59,2371.22,2513.93,2713.80,2789.23,2908.72,3047.89,3222.95,3406.89,3587.67,3732.02,3851.78,3975.79,4082.04,,1.15,-13.30,-6.71,-5.02,2.38,-1.05,0.69,-3.89,-5.20,-3.41,6.12,8.29,8.27,8.42,4.79,7.93,6.30,-2.23,2.00,-2.05,2.18,1.53,-0.61,3.37,-1.55,6.02,7.95,2.78,4.28,4.78,5.74,5.71,5.31,4.02,3.21,3.22,2.67,3.28,,,,,,,,,,,,,,,,,,
Paraguay,2377.88,2532.67,2431.80,2293.53,2292.26,2328.08,2374.11,2481.16,2552.64,2651.32,2681.82,2697.27,2666.80,2721.86,2789.35,2900.64,2869.42,2916.79,2851.97,2754.03,2637.32,2565.53,2517.81,2579.99,2638.78,2650.79,2734.41,2839.03,2975.66,2817.82,3144.30,3238.56,3158.08,3556.96,3680.14,3744.80,3850.17,3834.68,,6.51,-3.98,-5.69,-0.06,1.56,1.98,4.51,2.88,3.87,1.15,0.58,-1.13,2.06,2.48,3.99,-1.08,1.65,-2.22,-3.43,-4.24,-2.72,-1.86,2.47,2.28,0.46,3.15,3.83,4.81,-5.30,11.59,3.00,-2.49,12.63,3.46,1.76,2.81,-0.40,3.16,,,,,,,,,,,,,,,,,,
Peru,3741.57,3847.09,3752.61,3288.60,3334.72,3331.72,3568.59,3832.67,3397.27,2916.03,2712.43,2714.65,2643.99,2725.54,3000.82,3163.84,3195.73,3346.80,3282.29,3283.44,3325.88,3302.23,3437.91,3537.10,3668.65,3854.79,4099.19,4400.71,4751.83,4753.68,5096.30,5363.00,5634.37,5904.22,5984.63,6118.92,6299.44,6397.14,,2.82,-2.46,-12.37,1.40,-0.09,7.11,7.40,-11.36,-14.17,-6.98,0.08,-2.60,3.08,10.10,5.43,1.01,4.73,-1.93,0.03,1.29,-0.71,4.11,2.89,3.72,5.07,6.34,7.36,7.98,0.04,7.21,5.23,5.06,4.79,1.36,2.24,2.95,1.55,2.65,,,,,,,,,,,,,,,,,,
Suriname,7920.18,7784.56,7441.20,7044.87,6631.98,6385.95,6072.17,5163.51,5561.37,6099.16,6023.40,6169.63,6127.18,5663.25,5818.67,5818.12,5818.32,6061.10,6049.33,5887.28,5778.06,5941.08,6091.25,6349.88,6828.98,7031.34,7183.74,7420.04,7597.69,7705.93,7989.41,8345.14,8462.59,8608.04,8532.72,8220.43,7715.30,7643.14,,-1.71,-4.41,-5.33,-5.86,-3.71,-4.91,-14.96,7.71,9.67,-1.24,2.43,-0.69,-7.57,2.74,-0.01,0.00,4.17,-0.19,-2.68,-1.86,2.82,2.53,4.25,7.55,2.96,2.17,3.29,2.39,1.42,3.68,4.45,1.41,1.72,-0.88,-3.66,-6.14,-0.94,0.76,,,,,,,,,,,,,,,,,,
Uruguay,7317.33,7386.98,6620.75,5899.81,5794.70,5859.03,6347.06,6825.75,6898.18,6943.56,6932.75,7146.59,7681.89,7854.74,8391.21,8235.59,8656.21,9346.55,9723.06,9498.76,9281.18,8892.92,8178.98,8221.87,8612.61,9236.85,9596.63,10200.78,10907.88,11345.23,12203.45,12804.48,13226.37,13805.90,14216.64,14231.26,14432.34,14775.49,,0.95,-10.37,-10.89,-1.78,1.11,8.33,7.54,1.06,0.66,-0.16,3.08,7.49,2.25,6.83,-1.85,5.11,7.97,4.03,-2.31,-2.29,-4.18,-8.03,0.52,4.75,7.25,3.90,6.30,6.93,4.01,7.56,4.93,3.29,4.38,2.98,0.10,1.41,2.38,3.22,,,,,,,,,,,,,,,,,,
Venezuela,10948.63,10622.36,10070.27,9384.36,9227.99,8973.20,9282.35,9340.55,9604.35,8536.36,8839.50,9483.77,9840.05,9658.24,9236.88,9409.26,9207.16,9607.13,9456.47,8731.05,8893.59,9037.14,8096.53,7342.82,8542.40,9271.97,10026.00,10734.38,11129.65,10613.26,10303.37,10581.37,11020.78,11015.65,10444.19,9710.40,7814.76,7013.84,,-2.98,-5.20,-6.81,-1.67,-2.76,3.45,0.63,2.82,-11.12,3.55,7.29,3.76,-1.85,-4.36,1.87,-2.15,4.34,-1.57,-7.67,1.86,1.61,-10.41,-9.31,16.34,8.54,8.13,7.07,3.68,-4.64,-2.92,2.70,4.15,-0.05,-5.19,-7.03,-19.52,-10.25,-18.21,,,,,,,,,,,,,,,,,,
Europe,20338.80,20310.40,20429.97,20787.06,21293.70,21809.16,22333.43,22898.57,23769.64,24515.39,25029.49,25192.10,25301.88,25187.63,25835.71,26463.97,26947.92,27694.83,28472.28,29243.58,30292.25,30860.70,31170.55,31462.84,32169.82,32744.51,33720.96,34629.95,34674.66,33108.32,33712.90,34192.93,33999.62,34026.11,34537.21,35231.95,35822.90,36592.08,,-0.14,0.59,1.75,2.44,2.42,2.40,2.53,3.80,3.14,2.10,0.65,0.44,-0.45,2.57,2.43,1.83,2.77,2.81,2.71,3.59,1.88,1.00,0.94,2.25,1.79,2.98,2.70,0.13,-4.52,1.83,1.42,-0.57,0.08,1.50,2.01,1.68,2.15,1.92,,,,,,,,,,,,,,,,,,
EuropeanUnion28,20232.88,20189.88,20330.89,20692.37,21183.75,21679.83,22204.07,22785.72,23690.01,24409.25,24930.25,25113.08,25226.71,25100.27,25740.18,26372.34,26846.31,27578.25,28351.93,29148.24,30193.89,30762.12,31074.15,31373.96,32057.64,32606.95,33573.20,34459.38,34478.34,32874.69,33481.35,33967.16,33736.85,33737.60,34239.04,34944.86,35543.46,36328.38,,-0.21,0.70,1.78,2.37,2.34,2.42,2.62,3.97,3.04,2.13,0.73,0.45,-0.50,2.55,2.46,1.80,2.73,2.81,2.81,3.59,1.88,1.01,0.96,2.18,1.71,2.96,2.64,0.06,-4.65,1.85,1.45,-0.68,0.00,1.49,2.06,1.71,2.21,1.92,,,,,,,,,,,,,,,,,,
EuroZone,23333.09,23379.03,23493.29,23789.89,24307.29,24827.84,25397.65,25984.84,27002.54,27959.47,28800.46,29358.39,29543.28,29202.66,29811.22,30464.46,30906.42,31650.02,32519.96,33383.28,34541.45,35152.64,35331.38,35409.32,36027.51,36453.49,37470.41,38407.15,38386.04,36497.90,37155.85,37653.29,37201.34,36995.25,37378.77,38062.17,38648.45,39476.55,,0.20,0.49,1.26,2.17,2.14,2.30,2.31,3.92,3.54,3.01,1.94,0.63,-1.15,2.08,2.19,1.45,2.41,2.75,2.65,3.47,1.77,0.51,0.22,1.75,1.18,2.79,2.50,-0.05,-4.92,1.80,1.34,-1.20,-0.55,1.04,1.83,1.54,2.14,1.90,,,,,,,,,,,,,,,,,,
EuropeanUnion15,24242.63,24239.18,24431.12,24843.26,25412.03,26032.55,26666.45,27383.78,28492.56,29415.04,30150.77,30598.94,30807.43,30595.95,31330.82,32015.97,32506.86,33355.73,34262.83,35209.19,36424.66,37042.45,37311.77,37533.51,38210.04,38724.67,39721.13,40608.70,40469.97,38517.43,39199.30,39674.56,39327.46,39250.85,39747.11,40465.33,41068.32,41844.44,,-0.01,0.79,1.69,2.29,2.44,2.43,2.69,4.05,3.24,2.50,1.49,0.68,-0.69,2.40,2.19,1.53,2.61,2.72,2.76,3.45,1.70,0.73,0.59,1.80,1.35,2.57,2.23,-0.34,-4.82,1.77,1.21,-0.87,-0.19,1.26,1.81,1.49,1.89,1.63,,,,,,,,,,,,,,,,,,
BelgiumLuxembourg,28003.73,27903.36,28065.89,28196.01,28949.49,29435.79,30096.40,30788.42,32259.96,33332.45,34305.88,34967.39,35352.20,34997.87,35995.49,36692.46,37167.98,38509.95,39312.00,40778.80,42288.35,42561.31,43243.13,43419.29,44785.65,45505.81,46447.87,47914.02,47795.92,46230.74,47187.82,47618.42,47257.49,47098.38,47512.32,47859.05,48227.18,48709.08,,-0.36,0.58,0.46,2.67,1.68,2.24,2.30,4.78,3.32,2.92,1.93,1.10,-1.00,2.85,1.94,1.30,3.61,2.08,3.73,3.70,0.65,1.60,0.41,3.15,1.61,2.07,3.16,-0.25,-3.27,2.07,0.91,-0.76,-0.34,0.88,0.73,0.77,1.00,0.96,,,,,,,,,,,,,,,,,,
Austria,27595.83,27500.66,28016.79,28932.71,28942.80,29643.85,30292.14,30660.07,31583.54,32690.47,33691.08,34425.04,34717.03,34578.26,35237.11,36087.80,36874.20,37604.11,38908.70,40215.10,41474.07,41854.41,42355.49,42558.66,43471.07,44171.73,45492.12,47033.45,47565.90,45657.57,46389.36,47592.04,47702.46,47438.10,47535.93,47779.21,48215.29,49436.77,,-0.34,1.88,3.27,0.03,2.42,2.19,1.21,3.01,3.50,3.06,2.18,0.85,-0.40,1.91,2.41,2.18,1.98,3.47,3.36,3.13,0.92,1.20,0.48,2.14,1.61,2.99,3.39,1.13,-4.01,1.60,2.59,0.23,-0.55,0.21,0.51,0.91,2.53,2.04,,,,,,,,,,,,,,,,,,
Belgium,27463.27,27371.01,27522.96,27610.98,28292.60,28751.47,29264.86,29914.42,31283.60,32193.98,33098.75,33586.96,33961.42,33502.01,34455.04,35163.66,35641.57,36888.46,37553.62,38821.00,40122.02,40334.40,40917.66,41065.62,42376.37,43033.23,43833.85,45026.67,45028.56,43667.61,44502.15,44902.30,44618.69,44347.47,44566.64,44854.33,45148.49,45600.64,,-0.34,0.56,0.32,2.47,1.62,1.79,2.22,4.58,2.91,2.81,1.48,1.11,-1.35,2.84,2.06,1.36,3.50,1.80,3.37,3.35,0.53,1.45,0.36,3.19,1.55,1.86,2.72,0.00,-3.02,1.91,0.90,-0.63,-0.61,0.49,0.65,0.66,1.00,0.80,,,,,,,,,,,,,,,,,,
Denmark,36378.19,36146.13,37505.54,38505.63,40130.85,41720.65,43708.25,43763.90,43736.68,43992.48,44568.88,45072.55,45803.20,45658.04,47933.68,49130.03,50271.77,51698.97,52655.35,54030.68,55873.66,56139.94,56203.76,56219.59,57514.35,58653.02,60743.19,61099.79,60602.93,57464.03,58379.29,59006.56,58995.48,59406.80,60231.97,61063.41,62126.04,63379.94,,-0.64,3.76,2.67,4.22,3.96,4.76,0.13,-0.06,0.58,1.31,1.13,1.62,-0.32,4.98,2.50,2.32,2.84,1.85,2.61,3.41,0.48,0.11,0.03,2.30,1.98,3.56,0.59,-0.81,-5.18,1.59,1.07,-0.02,0.70,1.39,1.38,1.74,2.02,1.45,,,,,,,,,,,,,,,,,,
Finland,25660.58,25882.20,26532.20,27197.71,27922.36,28791.96,29483.02,30443.55,31933.12,33450.88,33514.91,31360.66,30154.13,29791.95,30836.47,32016.65,33086.61,35058.61,36871.45,38427.10,40509.96,41461.47,42057.50,42794.13,44345.52,45423.26,47085.83,49319.10,49444.50,45138.98,46277.34,47246.36,46351.04,45788.21,45298.73,45173.02,45958.99,46997.34,,0.86,2.51,2.51,2.66,3.11,2.40,3.26,4.89,4.75,0.19,-6.43,-3.85,-1.20,3.51,3.83,3.34,5.96,5.17,4.22,5.42,2.35,1.44,1.75,3.63,2.43,3.66,4.74,0.25,-8.71,2.52,2.09,-1.90,-1.21,-1.07,-0.28,1.74,2.26,2.21,,,,,,,,,,,,,,,,,,
France,27005.87,27153.43,27683.93,27913.66,28177.83,28509.65,29057.42,29666.96,30925.65,31954.24,32687.71,32830.48,33158.04,32780.13,33391.36,33930.96,34246.27,34889.50,35964.63,37012.05,38245.41,38771.01,38978.33,39078.13,39932.12,40328.77,41028.17,41736.60,41578.88,40131.14,40692.57,41312.66,41177.13,41212.89,41410.40,41667.09,41983.80,42575.66,,0.55,1.95,0.83,0.95,1.18,1.92,2.10,4.24,3.33,2.30,0.44,1.00,-1.14,1.86,1.62,0.93,1.88,3.08,2.91,3.33,1.37,0.53,0.26,2.19,0.99,1.73,1.73,-0.38,-3.48,1.40,1.52,-0.33,0.09,0.48,0.62,0.76,1.41,1.31,,,,,,,,,,,,,,,,,,
Germany,26061.29,26164.48,26083.32,26565.90,27409.25,28108.88,28741.26,29142.45,30101.88,31030.51,32358.55,33754.73,34142.22,33592.98,34299.31,34792.94,34976.01,35570.49,36269.08,36966.76,38011.30,38591.44,38526.97,38232.07,38687.51,38983.51,40471.64,41846.88,42388.19,40117.75,41853.36,43477.11,43780.21,44080.53,45014.68,45879.97,46847.97,47965.84,,0.40,-0.31,1.85,3.17,2.55,2.25,1.40,3.29,3.08,4.28,4.31,1.15,-1.61,2.10,1.44,0.53,1.70,1.96,1.92,2.83,1.53,-0.17,-0.77,1.19,0.77,3.82,3.40,1.29,-5.36,4.33,3.88,0.70,0.69,2.12,1.92,2.11,2.39,2.34,,,,,,,,,,,,,,,,,,
Greece,19143.13,18677.47,18358.13,18060.37,18336.58,18728.39,18772.15,18305.59,19074.76,19704.77,19512.51,19879.39,19874.01,19447.60,19747.49,20108.67,20641.04,21519.50,22320.05,22969.44,23819.24,24750.84,25667.57,27098.46,28412.20,28526.63,30083.52,31015.47,30863.88,29496.31,27847.74,25280.57,23418.23,22648.33,22810.39,22743.86,22693.32,23010.19,,-2.43,-1.71,-1.62,1.53,2.14,0.23,-2.49,4.20,3.30,-0.98,1.88,-0.03,-2.15,1.54,1.83,2.65,4.26,3.72,2.91,3.70,3.91,3.70,5.57,4.85,0.40,5.46,3.10,-0.49,-4.43,-5.59,-9.22,-7.37,-3.29,0.72,-0.29,-0.22,1.40,1.86,,,,,,,,,,,,,,,,,,
Ireland,17167.09,17519.52,17731.10,17566.64,18201.69,18705.02,18622.27,19493.95,20570.88,21868.47,23753.77,24057.35,24673.05,25191.62,26514.21,28921.12,30988.53,33759.00,36168.92,39512.77,42753.97,44645.34,46732.96,47359.43,49424.62,51045.44,52490.99,53838.71,50600.92,47603.38,48011.10,48935.46,48424.39,48661.98,52095.35,64613.46,67110.18,71499.93,,2.05,1.21,-0.93,3.62,2.77,-0.44,4.68,5.52,6.31,8.62,1.28,2.56,2.10,5.25,9.08,7.15,8.94,7.14,9.25,8.20,4.42,4.68,1.34,4.36,3.28,2.83,2.57,-6.01,-5.92,0.86,1.93,-1.04,0.49,7.06,24.03,3.86,6.54,3.41,,,,,,,,,,,,,,,,,,
Italy,24442.63,24626.63,24715.40,24964.10,25740.51,26446.30,27202.98,28074.95,29251.98,30243.02,30842.45,31316.23,31469.72,31104.27,31711.38,32571.92,32926.81,33480.49,33977.75,34454.78,35653.41,36193.39,36192.35,36085.98,36419.62,36565.07,37150.86,37474.70,36794.38,34564.31,34980.98,35028.25,33904.96,33199.24,33130.38,33351.14,33554.70,33987.39,,0.75,0.36,1.01,3.11,2.74,2.86,3.21,4.19,3.39,1.98,1.54,0.49,-1.16,1.95,2.71,1.09,1.68,1.49,1.40,3.48,1.51,0.00,-0.29,0.92,0.40,1.60,0.87,-1.82,-6.06,1.21,0.14,-3.21,-2.08,-0.21,0.67,0.61,1.29,1.12,,,,,,,,,,,,,,,,,,
Luxembourg,42608.06,42257.35,42698.25,43954.46,46624.58,47809.12,52318.74,53999.37,57951.40,63293.02,65729.80,70639.48,70950.66,72903.44,74625.70,74595.34,74563.97,77801.38,81443.90,87118.96,92994.20,94203.32,96787.34,97182.02,99278.91,100880.86,104434.11,111433.45,108068.02,101469.95,104490.41,104818.04,101998.29,103319.76,106832.20,107526.27,108549.26,108830.93,,-0.82,1.04,2.94,6.07,2.54,9.43,3.21,7.32,9.22,3.85,7.47,0.44,2.75,2.36,-0.04,-0.04,4.34,4.68,6.97,6.74,1.30,2.74,0.41,2.16,1.61,3.52,6.70,-3.02,-6.11,2.98,0.31,-2.69,1.30,3.40,0.65,0.95,0.26,1.50,,,,,,,,,,,,,,,,,,
Netherlands,30064.19,29614.30,29114.75,29609.20,30391.48,31023.37,31711.42,32117.65,33006.58,34262.11,35449.24,36036.26,36388.99,36602.53,37422.42,38395.41,39588.54,41087.71,42687.64,44552.63,46119.65,46757.05,46519.48,46446.91,47245.23,48168.89,49798.57,51543.77,52230.95,50018.18,50464.46,51057.88,50285.98,49968.04,50460.30,51386.27,52308.72,53748.84,,-1.50,-1.69,1.70,2.64,2.08,2.22,1.28,2.77,3.80,3.46,1.66,0.98,0.59,2.24,2.60,3.11,3.79,3.89,4.37,3.52,1.38,-0.51,-0.16,1.72,1.96,3.38,3.50,1.33,-4.24,0.89,1.18,-1.51,-0.63,0.99,1.84,1.80,2.75,2.08,,,,,,,,,,,,,,,,,,
Portugal,12372.33,12480.27,12734.40,12696.14,12440.89,12774.91,13290.19,14127.05,15176.90,16150.26,16789.05,17528.94,17704.43,17272.82,17335.38,18009.83,18576.14,19290.45,20079.55,20741.51,21418.33,21727.02,21795.20,21496.63,21794.16,21873.84,22130.49,22603.21,22575.97,21840.19,22197.15,21741.95,20825.19,20555.87,20711.54,21066.56,21390.91,21952.60,,0.87,2.04,-0.30,-2.01,2.68,4.03,6.30,7.43,6.41,3.96,4.41,1.00,-2.44,0.36,3.89,3.14,3.85,4.09,3.30,3.26,1.44,0.31,-1.37,1.38,0.37,1.17,2.14,-0.12,-3.26,1.63,-2.05,-4.22,-1.29,0.76,1.71,1.54,2.63,1.92,,,,,,,,,,,,,,,,,,
Spain,17441.88,17297.69,17406.09,17621.02,17851.95,18184.85,18692.68,19641.73,20550.81,21454.55,22188.74,22689.86,22848.01,22563.69,23060.59,23662.62,24261.47,25101.99,26092.08,27123.18,28320.24,29124.80,29537.04,29987.81,30448.84,31073.56,31840.67,32470.80,32334.02,30919.28,30783.51,30313.86,29246.07,28548.44,28719.66,29453.54,30156.59,30826.35,,-0.83,0.63,1.23,1.31,1.86,2.79,5.08,4.63,4.40,3.42,2.26,0.70,-1.24,2.20,2.61,2.53,3.46,3.94,3.95,4.41,2.84,1.42,1.53,1.54,2.05,2.47,1.98,-0.42,-4.38,-0.44,-1.53,-3.52,-2.39,0.60,2.56,2.39,2.22,1.98,,,,,,,,,,,,,,,,,,
Sweden,31094.34,31198.18,31569.63,32155.10,33460.50,34127.27,34929.82,35941.27,36652.39,37374.18,37329.89,36615.60,35980.69,35034.88,36210.09,37470.45,37977.84,39055.72,40683.37,42492.47,44431.98,45005.82,45790.00,46708.52,48535.88,49704.37,51743.11,53111.45,52406.98,49268.83,51776.98,52758.78,52223.95,52465.89,53409.18,55381.19,56715.68,57548.14,,0.33,1.19,1.85,4.06,1.99,2.35,2.90,1.98,1.97,-0.12,-1.91,-1.73,-2.63,3.35,3.48,1.35,2.84,4.17,4.45,4.56,1.29,1.74,2.01,3.91,2.41,4.10,2.64,-1.33,-5.99,5.09,1.90,-1.01,0.46,1.80,3.69,2.41,1.47,1.88,,,,,,,,,,,,,,,,,,
UK,21865.22,21670.24,22126.30,23046.58,23541.70,24464.80,25154.98,26407.89,27843.21,28481.03,28609.77,28218.85,28244.74,28899.25,29942.18,30586.17,31277.84,32457.74,33369.93,34309.27,35427.91,36185.61,36933.93,38020.64,38723.27,39684.31,40418.76,41099.47,40644.25,38719.65,39153.72,39500.79,39864.16,40458.74,41467.22,42211.39,42799.98,43336.85,,-0.89,2.10,4.16,2.15,3.92,2.82,4.98,5.44,2.29,0.45,-1.37,0.09,2.32,3.61,2.15,2.26,3.77,2.81,2.81,3.26,2.14,2.07,2.94,1.85,2.48,1.85,1.68,-1.11,-4.74,1.12,0.89,0.92,1.49,2.49,1.79,1.39,1.25,0.76,,,,,,,,,,,,,,,,,,
